"Season","Period","URL","Datetime","Tweet Id","Text","Username","Replies","Retweets","Likes","Location","Followers","Friends","Source"
"season20/21","period2","https://twitter.com/MijnVitesse/status/1353062274500464643","2021-01-23 19:29:19+00:00","1353062274500464643","'85 Drie wissels 

Openda en Tannane verlaten het veld, Darfalou en Huisman zijn de vervangers

Bij @fcgroningen gaat El Messadoudi naar de kant en komt Joosten in zijn plaats 

#Vitesse #vitgro","MijnVitesse","0","0","2","Arnhem","69565","293","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"
"season20/21","period2","https://twitter.com/Nielsie001/status/1353062181701521413","2021-01-23 19:28:57+00:00","1353062181701521413","Hoeveel engeltjes op de lat mag je eigenlijk gebruiken in een week tijd? 
#PSV #VolPSV #PSVrkc","Nielsie001","0","0","1","Mierlo","1316","205","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
"season20/21","period2","https://twitter.com/Linkspoot085/status/1353062117650296832","2021-01-23 19:28:42+00:00","1353062117650296832","Waarom beloond #Vitesse zichzelf nooit eens op tijd...weer goed spelen..zoveel goede kansen #vitgro en dus billen knijpen","Linkspoot085","0","0","4","","102","90","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>"
"season20/21","period2","https://twitter.com/PSVEind_040/status/1353062112709361668","2021-01-23 19:28:41+00:00","1353062112709361668","Jongens stop toch met deze trainer, dit voetbal gaat niet werken #psv #psvrkc","PSVEind_040","0","0","0","","44","191","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
"season20/21","period2","https://twitter.com/MijnVitesse/status/1353061919494529025","2021-01-23 19:27:54+00:00","1353061919494529025","'84 En weer een enorme kans voor Vitesse! 

Bero komt één-op-één met de keeper, maar de bal gaat via de voet van Padt naast het doel 

#Vitesse #vitgro","MijnVitesse","0","0","2","Arnhem","69565","293","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"
"season20/21","period2","https://twitter.com/Steiner72/status/1353061845838389250","2021-01-23 19:27:37+00:00","1353061845838389250","Het is niet echt dat we de pannen van het dak voetballen. #PSV #understatement Op het moment dat ik dit tik geweldige redding Mvogo.","Steiner72","0","0","0","Eindhoven","635","618","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
"season20/21","period2","https://twitter.com/stefanboom73/status/1353061842604617728","2021-01-23 19:27:36+00:00","1353061842604617728","Kan er nog wel bij! 😬 #PSV #PSVrkc https://t.co/pt49427kXe","stefanboom73","0","0","0","Venray, Nederland","1099","3349","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
"season20/21","period2","https://twitter.com/Nielsie001/status/1353061837810462721","2021-01-23 19:27:35+00:00","1353061837810462721","Wat is er in hemelsnaam met dat veld in Eindhoven? Wat een knollentuin! 
Normaal is het echt een biljartlaken. 

#PSV #PSVrkc","Nielsie001","4","0","9","Mierlo","1316","205","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
"season20/21","period2","https://twitter.com/Ronald_Wester/status/1353061799440998401","2021-01-23 19:27:26+00:00","1353061799440998401","Hoeveel??? #vitesse #virgro","Ronald_Wester","0","0","2","Arnhem, Nederland","237","283","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
"season20/21","period2","https://twitter.com/PSMDEurope/status/1353061770579988480","2021-01-23 19:27:19+00:00","1353061770579988480","Madueke geblesseerd, zal wel weer aan de scheidsrechter liggen, hè Schmidt? @psveindhoven @KNVB #psv","PSMDEurope","0","0","0","❤️ Achterhoek","54","211","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
"season20/21","period2","https://twitter.com/tomteselle/status/1353061749503578113","2021-01-23 19:27:14+00:00","1353061749503578113","vitesse speelt als of het met 10 man speelt ..#vitgro #Vitesse","tomteselle","1","0","1","amersfoort,the netherlands","505","701","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
"season20/21","period2","https://twitter.com/MikeVerweij/status/1353061747284799488","2021-01-23 19:27:13+00:00","1353061747284799488","Zal Schmidt ook boos worden op degene die Madueke weer terug het veld op liet gaan? Hamstringblessure leek daardoor te verergeren #psvrkc #PSV","MikeVerweij","23","2","108","Netherlands","65312","1589","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
